text,text_with_ruby,author,source,mora_count,is_575,season,confidence,has_moon,has_autumn
はつきりと垣根に近し秋の山,はつきりと垣根に近し秋の山,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
秋さびた石なら木なら二百年,秋さびた石なら木なら二百年,正岡子規,寒山落木 巻一,19,False,秋,0.6,False,True
都には何事もなし秋の風,都には何事もなし秋の風,正岡子規,寒山落木 巻一,16,False,秋,0.7,False,True
風を秋と聞く時ありて犬の骨,風を秋と聞く時ありて犬の骨,正岡子規,寒山落木 巻一,19,False,秋,0.6,False,True
火ちら／＼足もとはしる秋の風,火ちら／＼足もとはしる秋の風,正岡子規,寒山落木 巻一,16,False,秋,0.7,False,True
鐘つきはさびしがらせたあとさびし,鐘つきはさびしがらせたあとさびし,正岡子規,寒山落木 巻一,17,True,,0.9,False,False
濁り井の氷に泥はなかりけり,濁り井の氷に泥はなかりけり,正岡子規,寒山落木 巻一,17,True,冬,1.0,False,False
木枯や木はみな落ちて壁の骨,木枯や木はみな落ちて壁の骨,正岡子規,寒山落木 巻一,19,False,冬,0.6,False,False
小烏の鳶なぶりゐる小春哉,小烏の鳶なぶりゐる小春哉,正岡子規,寒山落木 巻一,18,False,春,0.7,False,False
神の代はかくやありけん冬籠,神の代はかくやありけん冬籠,正岡子規,寒山落木 巻一,17,True,冬,0.9,False,False
しばらくは笹も動かず雪模樣,しばらくは笹も動かず雪模樣,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
枯あしの折れこむ舟や石たゝき,枯あしの折れこむ舟や石たゝき,正岡子規,寒山落木 巻一,17,True,冬,0.9,False,False
鴨ねるや舟に折れこむ枯尾花,鴨ねるや舟に折れこむ枯尾花,正岡子規,寒山落木 巻一,19,False,冬,0.6,False,False
初も知るや義農の米の恩,初も知るや義農の米の恩,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
元朝や皆見覺えの紋處,元朝や皆見覺えの紋處,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
鳴さして鶯むせふ餘寒哉,鳴さして鶯むせふ餘寒哉,正岡子規,寒山落木 巻一,16,False,春,0.7,False,False
陽炎や苔にもならぬ玉の石,陽炎や苔にもならぬ玉の石,正岡子規,寒山落木 巻一,17,True,春,0.9,False,False
春雨に白木よごるゝ宮ゐかな,春雨に白木よごるゝ宮ゐかな,正岡子規,寒山落木 巻一,17,True,春,1.0,False,False
陽炎や草くふ馬の鼻の穴,陽炎や草くふ馬の鼻の穴,正岡子規,寒山落木 巻一,17,True,春,0.9,False,False
若鮎の二手になりて上りけり,若鮎の二手になりて上りけり,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
門しめに出て聞て居る蛙かな,門しめに出て聞て居る蛙かな,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
鷹鳩になる此頃の朧かな,鷹鳩になる此頃の朧かな,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
西山の花に抱きつく涙哉,西山の花に抱きつく涙哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
賽錢のひゞきに落る椿かな,賽錢のひゞきに落る椿かな,正岡子規,寒山落木 巻一,15,False,,0.6,False,False
古町より外側に古し梅の花,古町より外側に古し梅の花,正岡子規,寒山落木 巻一,19,False,春,0.6,False,False
黒門に丸の跡あり山さくら,黒門に丸の跡あり山さくら,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
どんよりと青葉にひかる卯月哉,どんよりと青葉にひかる卯月哉,正岡子規,寒山落木 巻一,19,False,夏,0.6,True,False
螢狩袋の中の闇夜かな,螢狩袋の中の闇夜かな,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
涼しさや兩手になでる雪の鬚,涼しさや兩手になでる雪の鬚,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
土用干うその鎧もならびけり,土用干うその鎧もならびけり,正岡子規,寒山落木 巻一,17,True,,0.9,False,False
立よりて杉の皮はぐ涼み哉,立よりて杉の皮はぐ涼み哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
大佛にはらわたのなき涼しさよ,大佛にはらわたのなき涼しさよ,正岡子規,寒山落木 巻一,17,True,,0.9,False,False
涼しさに海へなげこむ扇かな,涼しさに海へなげこむ扇かな,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
早乙女の戀するひまもなかりけり,早乙女の戀するひまもなかりけり,正岡子規,寒山落木 巻一,19,False,,0.6,False,False
朝夕に神きこしめす田歌かな,朝夕に神きこしめす田歌かな,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
夏痩を見せまゐらせ度候かしく,夏痩を見せまゐらせ度候かしく,正岡子規,寒山落木 巻一,19,False,夏,0.6,False,False
大粒になつてはれけり五月雨,大粒になつてはれけり五月雨,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
夕立や足たてかぬるめくら馬,夕立や足たてかぬるめくら馬,正岡子規,寒山落木 巻一,17,True,夏,0.9,False,False
君か代や親が所望の夏氷,君か代や親が所望の夏氷,正岡子規,寒山落木 巻一,18,False,夏,0.7,False,False
招く手の裏を汐風かをりけり,招く手の裏を汐風かをりけり,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
垣こえて雨戸をたゝくくゐな哉,垣こえて雨戸をたゝくくゐな哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
灯ともして又夏虫をまつ夜哉,灯ともして又夏虫をまつ夜哉,正岡子規,寒山落木 巻一,19,False,夏,0.6,False,False
故郷へ入る夜は月よほとゝきす,故郷へ入る夜は月よほとゝきす,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
墓拜む間を籔蚊の命哉,墓拜む間《ヒマ》を籔蚊の命哉,正岡子規,寒山落木 巻一,19,False,夏,0.6,False,False
水無月の虚空に涼し時鳥,水無月の虚空に涼し時鳥,正岡子規,寒山落木 巻一,19,False,秋,0.6,True,True
山門に螢逃げこむしまり哉,山門に螢逃げこむしまり哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
杉谷や山三方にほとゝぎす,杉谷や山三方にほとゝぎす,正岡子規,寒山落木 巻一,16,False,,0.6,False,False
手ばなせは又萍の流れけり,手ばなせは又萍の流れけり,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
痩馬もいさむ朝日の青葉かな,痩馬もいさむ朝日の青葉かな,正岡子規,寒山落木 巻一,19,False,夏,0.7,False,False
夕に行脚の僧をとゞめけり,夕に行脚の僧をとゞめけり,正岡子規,寒山落木 巻一,15,False,,0.6,False,False
討死の甲に匂ふあやめかな,討死の甲に匂ふあやめかな,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
鷄の塒に小さし秋のくれ,鷄の塒に小さし秋のくれ,正岡子規,寒山落木 巻一,15,False,秋,0.7,False,True
鼻たれの兄とよばるゝ夜寒哉,鼻たれの兄とよばるゝ夜寒哉,正岡子規,寒山落木 巻一,17,True,冬,0.9,False,False
秋立つや芒穗に出る蛇たまり,秋立つや芒穗に出る蛇たまり,正岡子規,寒山落木 巻一,19,False,秋,0.6,False,True
秋風や崩れたつたる雲のみね,秋風や崩れたつたる雲のみね,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
松苗に行末ちぎる月見哉,松苗に行末ちぎる月見哉,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
宵月やふすまにならぶ影法師,宵月やふすまにならぶ影法師,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
いろ／＼の灯ともす舟の月見哉,いろ／＼の灯ともす舟の月見哉,正岡子規,寒山落木 巻一,17,True,秋,0.9,True,True
蛇の舌まだ赤し秋の風,蛇の舌まだ赤し秋の風,正岡子規,寒山落木 巻一,15,False,秋,0.6,False,True
塔一ツ霧より上に晴れにけり,塔一ツ霧より上に晴れにけり,正岡子規,寒山落木 巻一,18,False,秋,0.7999999999999999,False,True
養老の月を李白にのませはや,養老の月を李白にのませはや,正岡子規,寒山落木 巻一,18,False,秋,0.7999999999999999,True,True
月見んとふじに近よる一日つゝ,月見んとふじに近よる一日つゝ,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
名月を山でやほめん野でや見ん,名月を山でやほめん野でや見ん,正岡子規,寒山落木 巻一,19,False,秋,0.6,True,True
筆の穗のさゝけ出したり秋の風,筆の穗のさゝけ出したり秋の風,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
洗ひなは箔やはげなん秋の水,洗ひなは箔やはげなん秋の水,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
名月のこよひに死ぬる秋の蚊か,名月のこよひに死ぬる秋の蚊か,正岡子規,寒山落木 巻一,19,False,夏,0.7,True,False
江の嶋は龜になれ／＼けふの月,江の嶋は龜になれ／＼けふの月,正岡子規,寒山落木 巻一,16,False,秋,0.7,True,True
【如意に蜻蜒のとまりし画に】,【如意に蜻蜒のとまりし画に】,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
耳なくてにげるやんまの悟り哉,耳なくてにげるやんまの悟り哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
下駄箱の奧になきけりきり／＼す,下駄箱の奧になきけりきり／＼す,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
乞食の腹を渡るや雁の聲,乞食の腹を渡るや雁の聲,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
鵙啼て秋の日和を定めけり,鵙啼て秋の日和を定めけり,正岡子規,寒山落木 巻一,18,False,秋,0.7999999999999999,False,True
雀ほど鶸鳴きたてゝ山淋し,雀ほど鶸鳴きたてゝ山淋し,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
情なう色のさめたり秋の蝶,情なう色のさめたり秋の蝶,正岡子規,寒山落木 巻一,16,False,春,0.7,False,False
澁鮎のさりとて紅葉にもならず,澁鮎のさりとて紅葉にもならず,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
我なりを見かけて鵯のなくらしき,我なりを見かけて鵯のなくらしき,正岡子規,寒山落木 巻一,18,False,,0.6,False,False
鵯の人をよぶやら山淋し,鵯の人をよぶやら山淋し,正岡子規,寒山落木 巻一,15,False,,0.6,False,False
稻の穗に招く哀れはなかりけり,稻の穗に招く哀れはなかりけり,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
かたまるを力にさくや女郎花,かたまるを力にさくや女郎花,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
刈萱の穗にあらはれぬ　うらみ　かな,刈萱の穗にあらはれぬ　うらみ　かな,正岡子規,寒山落木 巻一,18,False,,0.7,False,False
萩ゆられ葛ひるかへる夕かな,萩ゆられ葛ひるかへる夕かな,正岡子規,寒山落木 巻一,16,False,秋,0.7999999999999999,False,True
鉢植の松にも蔦の紅葉かな,鉢植の松にも蔦の紅葉かな,正岡子規,寒山落木 巻一,18,False,秋,0.7999999999999999,False,True
里芋の娵入したる都かな,里芋の娵入したる都かな,正岡子規,寒山落木 巻一,16,False,,0.7,False,False
〃　水門に荻をすひこむ流れ哉,〃　水門に荻をすひこむ流れ哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
一谷は風撫であぐる薄哉,一谷は風撫であぐる薄哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
薄紅葉紅にそめよと與へけり,薄紅葉紅にそめよと與へけり,正岡子規,寒山落木 巻一,18,False,秋,0.7999999999999999,False,True
秋の山瀧を殘して紅葉哉,秋の山瀧を殘して紅葉哉,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
色かへぬ松や主は知らぬ人,色かへぬ松や主は知らぬ人,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
万山の木のはの音や寒の月,万山の木のはの音や寒の月,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
牛若の下駄の跡あり橋の霜,牛若の下駄の跡あり橋の霜,正岡子規,寒山落木 巻一,19,False,冬,0.6,False,False
廿五年　終りの冬　時節,廿五年　終りの冬　時節,正岡子規,寒山落木 巻一,16,False,冬,0.7,False,False
鉢叩雪のふる夜をうかれけり,鉢叩雪のふる夜をうかれけり,正岡子規,寒山落木 巻一,17,True,冬,1.0,False,False
凩や京にそがひの家かまへ,凩や京にそがひの家かまへ,正岡子規,寒山落木 巻一,15,False,,0.6,False,False
初雪の重さ加減やこもの上,初雪の重さ加減やこもの上,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
廿五年　終りの冬　生物,廿五年　終りの冬　生物,正岡子規,寒山落木 巻一,16,False,冬,0.7,False,False
はげそめてやゝ寒げ也冬紅葉,はげそめてやゝ寒げ也冬紅葉,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
冬枯の野に學校のふらふ哉,冬枯の野に學校のふらふ哉,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
東野の紅葉ちりこむ藁火哉,東野の紅葉ちりこむ藁火哉,正岡子規,寒山落木 巻一,19,False,秋,0.6,False,True
梟や聞耳立つる三千騎,梟や聞耳立つる三千騎,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
鰒釣や沖はあやしき雪模樣,鰒釣や沖はあやしき雪模樣,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
鷺谷に一本淋し枯尾花,鷺谷に一本淋し枯尾花,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
引きあげて一村くもる鯨哉,引きあげて一村くもる鯨哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
此夜始めて時鳥を聴く,此夜始めて時鳥《ほととぎす》を聴く,正岡子規,牡丹句録,17,True,,0.8,False,False
余の重患ハいつも五月なれは,余の重患ハいつも五月なれは,正岡子規,牡丹句録,18,False,秋,0.7,True,True
厄月の庭にさいたる牡丹哉,厄月の庭にさいたる牡丹哉,正岡子規,牡丹句録,18,False,秋,0.7,True,True
牡丹散る病の床の静さよ,牡丹散る病の床の静さよ,正岡子規,牡丹句録,17,True,,0.9,False,False
二片散て牡丹の形かハりけり,二片散て牡丹の形かハりけり,正岡子規,牡丹句録,19,False,,0.6,False,False
きんつばの行燈暗き夜寒かな,きんつばの行燈暗き夜寒かな,正岡子規,夜寒十句,18,False,冬,0.7999999999999999,False,False
電気燈明るき山の夜寒かな,電気燈明るき山の夜寒かな,正岡子規,夜寒十句,19,False,冬,0.7,False,False
交番の交代時の夜寒かな,交番の交代時の夜寒かな,正岡子規,夜寒十句,18,False,冬,0.7999999999999999,False,False
暗やみに我門敲く夜寒かな,暗やみに我門敲く夜寒かな,正岡子規,夜寒十句,18,False,冬,0.7999999999999999,False,False
元日や仏に成るも此の心,元日や仏に成るも此の心,内藤鳴雪,鳴雪句集,17,True,,0.8,False,False
藤六が平六具して御慶かな,藤六が平六具して御慶かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
春の夜の刀預る恋もあり,春の夜の刀預る恋もあり,内藤鳴雪,鳴雪句集,16,False,春,0.7,False,False
春の夜の鳩のうめきや絵天井,春の夜の鳩のうめきや絵天井,内藤鳴雪,鳴雪句集,19,False,春,0.6,False,False
其中にほうこ雛の寒げなり,其中にほうこ雛の寒げなり,内藤鳴雪,鳴雪句集,16,False,春,0.7999999999999999,False,False
一年や虫糞払ふ雛の衣,一年や虫糞払ふ雛の衣,内藤鳴雪,鳴雪句集,17,True,春,0.9,False,False
大凧の静かに下る雨の中,大凧の静かに下る雨の中,内藤鳴雪,鳴雪句集,17,True,,0.8,False,False
春雨に杉苗そだつ小山かな,春雨に杉苗そだつ小山かな,内藤鳴雪,鳴雪句集,18,False,春,0.7999999999999999,False,False
景清の番傘さして春の雨,景清の番傘さして春の雨,内藤鳴雪,鳴雪句集,17,True,春,0.9,False,False
春雨や蓬の宿の白拍子,春雨や蓬の宿の白拍子,内藤鳴雪,鳴雪句集,17,True,春,0.9,False,False
春雨に牛やるといじもいじかな,春雨に牛やるといじもいじかな,内藤鳴雪,鳴雪句集,17,True,春,1.0,False,False
小蔀に人のけはひや春の月,小蔀に人のけはひや春の月,内藤鳴雪,鳴雪句集,17,True,春,0.9,True,False
朧月千人斬の噂かな,朧月千人斬の噂かな,内藤鳴雪,鳴雪句集,15,False,秋,0.7,True,True
浅茅生の宿と答へて朧月,浅茅生の宿と答へて朧月,内藤鳴雪,鳴雪句集,18,False,秋,0.7,True,True
猫塚に恋草生ふる小雨かな,猫塚に恋草生ふる小雨かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
鶯　　　　鶯に朝飯遅き下宿かな,鶯　　　　鶯に朝飯遅き下宿かな,内藤鳴雪,鳴雪句集,18,False,春,0.7999999999999999,False,False
鶯に禄賜はりし初音かな,鶯に禄賜はりし初音かな,内藤鳴雪,鳴雪句集,16,False,春,0.7999999999999999,False,False
鶯の声聞きしより妻孕み,鶯の声聞きしより妻孕み,内藤鳴雪,鳴雪句集,16,False,春,0.7,False,False
鶯の大根畑に初音かな,鶯の大根畑に初音かな,内藤鳴雪,鳴雪句集,16,False,春,0.7999999999999999,False,False
葉がくれに白う肥えたる蚕かな,葉がくれに白う肥えたる蚕かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
浜寺や紅梅褪せて雨多き,浜寺や紅梅褪せて雨多き,内藤鳴雪,鳴雪句集,18,False,春,0.7,False,False
紅梅や司たまはる古匠,紅梅や司たまはる古匠,内藤鳴雪,鳴雪句集,15,False,春,0.6,False,False
桜　　　　奈良阪や桜に憩ふ油売,桜　　　　奈良阪や桜に憩ふ油売,内藤鳴雪,鳴雪句集,19,False,春,0.6,False,False
雉の子を追ひつまくつゝ躑躅かな,雉の子を追ひつまくつゝ躑躅かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
柳　　　　船曳のあたまで分ける柳かな,柳　　　　船曳のあたまで分ける柳かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
一笠の首途は安き五月かな,一笠の首途は安き五月かな,内藤鳴雪,鳴雪句集,19,False,秋,0.7,True,True
短夜や蓬が上の廿日月,短夜や蓬が上の廿日月,内藤鳴雪,鳴雪句集,17,True,秋,0.9,True,True
短夜を援兵急ぐ山路かな,短夜を援兵急ぐ山路かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
短夜や百万遍に朝日さす,短夜や百万遍に朝日さす,内藤鳴雪,鳴雪句集,18,False,,0.6,False,False
遺言も涼しき老の枕なか,遺言も涼しき老の枕なか,内藤鳴雪,鳴雪句集,16,False,,0.7,False,False
幟　　　　矢車に朝風強き幟かな,幟　　　　矢車に朝風強き幟かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
殿原が馬で見て行く幟かな,殿原が馬で見て行く幟かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
初幟こゝにも日本男児あり,初幟こゝにも日本男児あり,内藤鳴雪,鳴雪句集,17,True,,0.8,False,False
川床に女負ひ行く納涼かな,川床に女負ひ行く納涼かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
海中の岩飛びわたる納涼かな,海中の岩飛びわたる納涼かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
ばた／＼と鴉むれ居る清水かな,ばた／＼と鴉むれ居る清水かな,内藤鳴雪,鳴雪句集,16,False,,0.7,False,False
牡丹画く筆端に紅の雫かな,牡丹画く筆端に紅の雫かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
行秋の天西南に傾きぬ,行秋の天西南に傾きぬ,内藤鳴雪,鳴雪句集,16,False,秋,0.7999999999999999,False,True
魂棚の前に飯喰ふ子供かな,魂棚の前に飯喰ふ子供かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
魂棚の飯に露おく夕かな,魂棚の飯に露おく夕かな,内藤鳴雪,鳴雪句集,16,False,秋,0.7999999999999999,False,True
燈籠も二つ比翼の誓ひかな,燈籠も二つ比翼の誓ひかな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
猪の牙にかけたる案山子かな,猪の牙にかけたる案山子かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
旅駕の眠り驚く鳴子かな,旅駕の眠り驚く鳴子かな,内藤鳴雪,鳴雪句集,17,True,,0.9,False,False
秋風　　　税苛し莨畑の秋の風,秋風　　　税苛し莨畑の秋の風,内藤鳴雪,鳴雪句集,19,False,秋,0.6,False,True
両刀を抜けば竹なり秋の風,両刀を抜けば竹なり秋の風,内藤鳴雪,鳴雪句集,18,False,秋,0.7,False,True
古城は北に聳えて天の川,古城は北に聳えて天の川,内藤鳴雪,鳴雪句集,17,True,,0.8,False,False
天の川故郷の空に傾きぬ,天の川故郷の空に傾きぬ,内藤鳴雪,鳴雪句集,17,True,,0.9,False,False
露　　　　道の辺や露深草の捨車,露　　　　道の辺や露深草の捨車,内藤鳴雪,鳴雪句集,19,False,秋,0.6,False,True
朝露や矢文を拾ふ草の中,朝露や矢文を拾ふ草の中,内藤鳴雪,鳴雪句集,18,False,秋,0.7,False,True
したゝかに雨だれ落つる芭蕉かな,したゝかに雨だれ落つる芭蕉かな,内藤鳴雪,鳴雪句集,18,False,,0.7,False,False
中門の額見事なる芭蕉かな,中門の額見事なる芭蕉かな,内藤鳴雪,鳴雪句集,19,False,,0.6,False,False
